event,parameter,xphm_split_NW1_p95,xpnr_split_NW1_p95,pair_noise_threshold_NW1
GW250101_011205,chi_eff,0.010221805091361917,0.009745104157278976,0.010221805091361917
GW250101_011205,luminosity_distance,0.00908045876318752,0.010802295451249135,0.010802295451249135
GW250101_011205,chirp_mass_source,0.0087813906427514,0.01093273321718022,0.01093273321718022
GW250108_152221,chirp_mass,0.01113320933178043,0.011410697927633755,0.011410697927633755
GW250108_152221,mass_ratio,0.009907160204414449,0.009349148160740334,0.009907160204414449
GW250108_152221,chi_eff,0.009964579836946007,0.009728326051472386,0.009964579836946007
GW250108_152221,luminosity_distance,0.010285472547194825,0.011334765826374453,0.011334765826374453
GW250108_152221,chirp_mass_source,0.011110445426408154,0.010182540246740677,0.011110445426408154
GW241114_235258,chirp_mass,0.010238465554738157,0.011200875736824451,0.011200875736824451
GW241114_235258,mass_ratio,0.009334246637089327,0.008665511238997595,0.009334246637089327
GW241114_235258,chi_eff,0.009116980857078905,0.009322675141080507,0.009322675141080507
GW241114_235258,luminosity_distance,0.010899689191506232,0.009236047236945209,0.010899689191506232
GW241114_235258,chirp_mass_source,0.009753373594648803,0.010426916042788895,0.010426916042788895
GW240519_012815,chirp_mass,0.008409114364513533,0.010562193942576554,0.010562193942576554
GW240519_012815,mass_ratio,0.007881258847496358,0.010111876458435308,0.010111876458435308
GW240519_012815,chi_eff,0.008867418176601104,0.00861079439946734,0.008867418176601104
GW240519_012815,luminosity_distance,0.010176994927732629,0.009349028695144262,0.010176994927732629
GW240519_012815,chirp_mass_source,0.009364432758925548,0.010137186566092169,0.010137186566092169
