event,model,parameter,replicate,half_sample_size,split_normalized_wasserstein_1
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,99,9535,0.009220736915719834
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,100,9535,0.009576232446287495
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,1,9599,0.004660797607534644
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,2,9599,0.00444837844956396
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,3,9599,0.006569457233577383
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,4,9599,0.006351446288344263
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,5,9599,0.006668589087485137
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,6,9599,0.011570372828033127
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,7,9599,0.006495109443178318
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,8,9599,0.006365961053387562
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,9,9599,0.006502860114548513
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,10,9599,0.005229273449816175
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,11,9599,0.0051818192784247406
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,12,9599,0.006137302590285166
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,13,9599,0.0047903162858619
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,14,9599,0.008404551080665009
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,15,9599,0.007051123910747011
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,16,9599,0.01265948661820871
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,17,9599,0.006631835634260133
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,18,9599,0.0036775440082294337
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,19,9599,0.005953834536899896
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,20,9599,0.011916460712903384
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,21,9599,0.007561869094616318
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,22,9599,0.006018686163647737
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,23,9599,0.006559356022344514
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,24,9599,0.006113563751791954
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,25,9599,0.006465366652898907
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,26,9599,0.008726882024768531
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,27,9599,0.005041857480670577
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,28,9599,0.010012807169728268
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,29,9599,0.00613127339432131
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,30,9599,0.0062921271104212535
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,31,9599,0.00744218853747555
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,32,9599,0.0075965674574800385
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,33,9599,0.007698095080657455
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,34,9599,0.005783113069401356
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,35,9599,0.011289370184454642
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,36,9599,0.00447144799179449
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,37,9599,0.007723270450194034
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,38,9599,0.007035744818845604
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,39,9599,0.01355860048450029
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,40,9599,0.00914224693800452
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,41,9599,0.008434009135027828
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,42,9599,0.007526520336556059
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,43,9599,0.004042064410248576
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,44,9599,0.006011186092343684
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,45,9599,0.007609575207313834
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,46,9599,0.004656839880912688
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,47,9599,0.012664540385844459
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,48,9599,0.008782652392267068
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,49,9599,0.011135867335839014
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,50,9599,0.00577790754208269
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,51,9599,0.008654733163656813
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,52,9599,0.005076282560668214
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,53,9599,0.007063809054014983
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,54,9599,0.009395699092357879
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,55,9599,0.010221513803350523
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,56,9599,0.007249012823583769
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,57,9599,0.00509092791407582
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,58,9599,0.005011337791541744
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,59,9599,0.008922231544073038
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,60,9599,0.006231534781813103
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,61,9599,0.009128263081820551
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,62,9599,0.003715608485210169
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,63,9599,0.006511155030735776
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,64,9599,0.013146065146915274
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,65,9599,0.005911657917482798
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,66,9599,0.006227790397335556
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,67,9599,0.007874356255937479
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,68,9599,0.007875545129568035
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,69,9599,0.004528095694559207
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,70,9599,0.00933812824633162
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,71,9599,0.008364762142603795
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,72,9599,0.004060470200673461
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,73,9599,0.006289107132470506
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,74,9599,0.005980101453616343
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,75,9599,0.005693653001168996
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,76,9599,0.007507190113338014
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,77,9599,0.009787420396306068
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,78,9599,0.0053878577079314
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,79,9599,0.004654349312343435
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,80,9599,0.006234332485710743
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,81,9599,0.0055578964513695985
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,82,9599,0.005095431779063687
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,83,9599,0.007941777902038401
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,84,9599,0.006542491445373896
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,85,9599,0.006410399967318073
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,86,9599,0.005442925870148977
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,87,9599,0.007782955863650489
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,88,9599,0.005464246871185991
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,89,9599,0.008141227005873327
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,90,9599,0.00535819909292183
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,91,9599,0.007407043776962564
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,92,9599,0.011482150692123567
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,93,9599,0.010414365010967973
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,94,9599,0.004184933567736525
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,95,9599,0.008037586435743004
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,96,9599,0.004118959217857541
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,97,9599,0.004019650931634466
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,98,9599,0.0068797336289043625
